name,component,carrier,bus0,bus1,r,x,b,s_nom,x_pu_eff,r_pu_eff,v_nom
530,line,AC,CURR5-,GORG3-,0.2634,0.9635,5.1125,111.0,6.672437673130194e-06,1.82409972299169e-06,380.0
531,line,AC,CURR5-,LING3-,0.7926,2.2632,6.4813,132.0,1.5673130193905818e-05,5.4889196675900274e-06,380.0
532,line,AC,CURR5-,GORG3-,0.2627,0.9613,5.0951,111.0,6.657202216066482e-06,1.8192520775623268e-06,380.0
533,line,AC,CURR5-,LING3-,0.7972,2.2773,6.5941,132.0,1.5770775623268696e-05,5.520775623268698e-06,380.0
534,line,AC,CURR5-,BPGR3J,0.1915,1.7367,11.67,1090.0,1.2027008310249307e-05,1.3261772853185595e-06,380.0
535,line,AC,CURR5-,KAIM3A,0.0398,0.3865,2.5902,1380.0,2.6765927977839336e-06,2.7562326869806095e-07,380.0
536,line,AC,CURR5-,KAIM3A,0.0398,0.3865,2.5902,1380.0,2.6765927977839336e-06,2.7562326869806095e-07,380.0
537,line,AC,CURR5-,KINC2-,0.2531,2.2958,15.4272,1090.0,1.5898891966759e-05,1.752770083102493e-06,380.0
538,line,AC,CURR5-,SIGH3A,0.0174,0.1034,6.0397,180.0,7.160664819944599e-07,1.2049861495844875e-07,380.0
539,line,AC,CURR5-,SIGH3A,0.0172,0.1027,5.9404,180.0,7.11218836565097e-07,1.1911357340720221e-07,380.0
540,line,AC,DALL2-,INVR2-,0.0954,0.921,6.2707,570.0,6.378116343490305e-06,6.606648199445983e-07,380.0
541,line,AC,DALL2-,WIYH1-,0.3305,3.192,21.732,570.0,2.210526315789474e-05,2.288781163434903e-06,380.0
542,line,AC,DALM3-,SANX3-,0.1457,0.1955,6.7791,181.0,1.3538781163434904e-06,1.0090027700831025e-06,380.0
543,line,AC,DALM3-,SANX3-,0.1632,0.2189,7.5936,181.0,1.5159279778393352e-06,1.1301939058171746e-06,380.0
544,line,AC,DENN1-,LAMB2-,0.1442,1.3015,8.8844,955.0,9.013157894736843e-06,9.986149584487535e-07,380.0
545,line,AC,DENN1-,LAMB2T,0.1451,1.3095,8.9356,955.0,9.068559556786704e-06,1.004847645429363e-06,380.0
546,line,AC,DENN1-,LOAN2-,0.0498,0.7694,6.8256,1500.0,5.3282548476454295e-06,3.448753462603878e-07,380.0
547,line,AC,DENN1-,LOAN2-,0.0498,0.7694,6.8256,1500.0,5.3282548476454295e-06,3.448753462603878e-07,380.0
548,line,AC,DESA3-,NECU1-,0.5652,1.7993,6.3388,167.0,1.2460526315789473e-05,3.914127423822715e-06,380.0
549,line,AC,DEVM3-,ERSK3-,1.767,3.937,0.893,132.0,2.7264542936288086e-05,1.2236842105263157e-05,380.0
550,line,AC,DEVM3-,SPAV3-,0.6915,1.7146,0.386,107.0,1.1873961218836564e-05,4.788781163434903e-06,380.0
551,line,AC,DEVM3-,SPAV3-,0.6806,1.6869,0.38,107.0,1.1682132963988921e-05,4.7132963988919665e-06,380.0
552,line,AC,DEVM3-,NEIL1-,0.0582,0.5967,15.8233,2000.0,4.132271468144044e-06,4.030470914127424e-07,380.0
553,line,AC,DEVM3-,WIYH1-,0.0586,0.5888,16.3967,2000.0,4.077562326869806e-06,4.0581717451523546e-07,380.0
554,line,AC,DEVO3-,STIR3-,0.3236,1.8724,7.2413,164.0,1.2966759002770083e-05,2.2409972299168973e-06,380.0
555,line,AC,DEVO3-,WFIE3-,2.8944,7.5329,1.5454,162.0,5.2166897506925206e-05,2.004432132963989e-05,380.0
556,line,AC,DEWP3-,WHHO3-,0.0159,0.0559,7.7539,276.0,3.871191135734072e-07,1.1011080332409973e-07,380.0
557,line,AC,DEWP3-,WHHO3-,0.0164,0.0575,7.9728,276.0,3.9819944598337953e-07,1.1357340720221608e-07,380.0
558,line,AC,DONO1-,KENE3-,0.2704,0.6216,11.7953,153.0,4.304709141274238e-06,1.8725761772853183e-06,380.0
559,line,AC,DRUM3-,WIYH1-,0.0113,0.1081,3.8932,120.0,7.486149584487535e-07,7.825484764542936e-08,380.0
560,line,AC,DRUM3-,WIYH1-,0.0111,0.1001,0.6832,120.0,6.932132963988919e-07,7.686980609418283e-08,380.0
561,line,AC,DUMF3A,TONG1R,4.447,10.71,2.18,132.0,7.416897506925208e-05,3.079639889196676e-05,380.0
562,line,AC,DUNB3A,DUNB3B,0.003,0.0136,0.2094,232.0,9.418282548476454e-08,2.077562326869806e-08,380.0
563,line,AC,DUNB3A,INWI1Q,0.8335,1.9723,8.1951,115.0,1.3658587257617728e-05,5.772160664819945e-06,380.0
564,line,AC,DUNB3A,DUNB3B,0.003,0.0136,0.2094,232.0,9.418282548476454e-08,2.077562326869806e-08,380.0
565,line,AC,DUNB3A,INWI1R,0.8335,1.9723,8.1951,115.0,1.3658587257617728e-05,5.772160664819945e-06,380.0
566,line,AC,DUNE3-,GALA3-,2.1456,5.5767,1.1477,164.0,3.861980609418282e-05,1.4858725761772853e-05,380.0
567,line,AC,DUNE3-,SMEA1-,1.098,3.6602,1.7709,154.0,2.5347645429362882e-05,7.603878116343491e-06,380.0
568,line,AC,DUNE3-,KEIH3-,5.548533,4.796483,0.379822,20.77,3.321664127423823e-05,3.842474376731302e-05,380.0
569,line,AC,DUNE3-,POGB3-,4.4534,3.8498,0.3049,21.0,2.66606648199446e-05,3.084072022160665e-05,380.0
570,line,AC,DUNE3-,TODD3-,2.245,5.682,0.73,42.0,3.934903047091413e-05,1.554709141274238e-05,380.0
571,line,AC,DUNF3-,INKE3-,0.6938,1.7769,0.5496,132.0,1.2305401662049861e-05,4.804709141274238e-06,380.0
572,line,AC,DUNF3-,MOSM3Q,0.5557,2.2694,0.5549,215.0,1.571606648199446e-05,3.848337950138504e-06,380.0
573,line,AC,DUNF3-,INKE3-,0.6938,1.7769,0.5496,132.0,1.2305401662049861e-05,4.804709141274238e-06,380.0
574,line,AC,DUNF3-,MOSM3R,0.5557,2.2694,0.5549,215.0,1.571606648199446e-05,3.848337950138504e-06,380.0
575,line,AC,DUNH1Q,DUNH3-,0.0168,0.037,0.2759,159.0,2.562326869806094e-07,1.1634349030470913e-07,380.0
576,line,AC,DUNH1Q,NECU1-,0.3486,2.4244,0.8703,484.0,1.6789473684210526e-05,2.414127423822715e-06,380.0
577,line,AC,DUNH1R,DUNH3-,0.0186,0.0409,0.3054,159.0,2.832409972299169e-07,1.2880886426592796e-07,380.0
578,line,AC,DUNH1R,NECU1-,0.3486,2.4244,0.8703,484.0,1.6789473684210526e-05,2.414127423822715e-06,380.0
579,line,AC,EAST5-,GLLE5-,0.1536,0.3503,0.094,132.0,2.4259002770083102e-06,1.0637119113573405e-06,380.0
580,line,AC,ECCL3-,GALA3-,2.8482,7.3807,1.5285,132.0,5.1112880886426595e-05,1.972437673130194e-05,380.0
581,line,AC,ECCL3-,GALA3-,2.8144,7.1441,1.5364,132.0,4.947437673130194e-05,1.9490304709141275e-05,380.0
